,temperature,target_temperature,valve_level,predicted_temperature,predicted_valve_level
2020-10-30 08:00:00+00:00,22.056000000000008,20.5,0.0,21.904000846950826,7.30967874489682
2020-10-30 08:15:00+00:00,22.14800000000001,20.5,0.0,22.14610508131778,-1.5971879107261513
2020-10-30 08:30:00+00:00,22.127272727272725,20.5,0.0,22.133650978168706,-1.238069162929987
2020-10-30 08:45:00+00:00,22.077777777777772,20.5,0.0,22.116130881657337,0.03937389051203416
2020-10-30 09:00:00+00:00,22.149019607843147,20.5,0.0,22.099452966646663,0.05014624279929408
2020-10-30 09:15:00+00:00,22.060416666666672,20.5,0.0,22.087560372628325,-0.1693237424047852
2020-10-30 09:30:00+00:00,21.937931034482748,20.5,0.0,22.0347572466761,0.17056718345592886
2020-10-30 09:45:00+00:00,21.84999999999999,20.5,0.0,21.89770553795192,1.0143701968931775
2020-10-30 10:00:00+00:00,21.755555555555556,20.5,0.0,21.82661142034227,0.8893058120507685
2020-10-30 10:15:00+00:00,21.75,20.5,4.0,21.761882504708375,1.3633840023686938
2020-10-30 10:30:00+00:00,21.7,20.5,4.0,21.729388821469623,6.309890191609012
2020-10-30 10:45:00+00:00,21.649253731343286,20.5,4.0,21.68497170584119,5.709909304041991
2020-10-30 11:00:00+00:00,21.63529411764706,20.5,4.0,21.66177933823145,6.119615926866822
2020-10-30 11:15:00+00:00,21.55,20.5,4.0,21.599948474955692,6.095472407608539
2020-10-30 11:30:00+00:00,21.550000000000004,20.5,4.0,21.555893525612255,6.637692719752545
2020-10-30 11:45:00+00:00,21.550909090909094,20.5,4.0,21.582609086265702,5.706776796791883
2020-10-30 12:00:00+00:00,21.535483870967745,20.5,4.0,21.564849685914663,6.153742067230785
